z,theta
0.1,23.23862636804685
0.2,15.660628291651097
0.3,12.3634236976503
0.4,10.451210943603929
0.5,9.150341106744628
0.6,8.20592710423777
0.7,7.487004647372692
0.8,6.914756910103404
0.9,6.441961546904009
1.0,6.039970141167208
1.1,5.690743001984513
1.2,5.3820810584652055
1.3,5.104910089088714
1.4,4.851841798078988
1.5,4.616504135725676
1.6,4.393221254512433
1.7,4.177065373867773
1.8,3.9636049242301903
1.9,3.7458190022192985
2.0,3.5125560232041044
2.1,1.8699201737229492
